INFO 2024-06-25 09:47:19,368 autoreload Watching for file changes with StatReloader
DEBUG 2024-06-25 09:47:19,370 autoreload Waiting for apps ready_event.
DEBUG 2024-06-25 09:47:19,545 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-06-25 09:47:19,592 autoreload Watching dir C:\Users\User\Desktop\cakesTP\project\cakes\main\templates with glob **/*.
DEBUG 2024-06-25 09:47:19,592 autoreload Watching dir C:\Users\User\Desktop\cakesTP\locale with glob **/*.mo.
DEBUG 2024-06-25 09:47:19,593 autoreload Watching dir C:\Users\User\Desktop\cakesTP\project\cakes\main\locale with glob **/*.mo.
DEBUG 2024-06-25 09:47:19,681 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-06-25 09:47:19,721 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-06-25 09:47:19,808 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\sqlparse\filters\aligned_indent.py first seen with mtime 1718659991.85589
DEBUG 2024-06-25 09:47:19,809 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\sqlparse\engine\grouping.py first seen with mtime 1718659991.85289
DEBUG 2024-06-25 09:47:19,809 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1718659991.8468888
DEBUG 2024-06-25 09:47:19,809 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\typing_extensions.py first seen with mtime 1718659991.7968745
DEBUG 2024-06-25 09:47:19,809 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\contrib\auth\validators.py first seen with mtime 1718659993.594725
DEBUG 2024-06-25 09:47:19,809 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\core\checks\translation.py first seen with mtime 1718659995.333321
DEBUG 2024-06-25 09:47:19,809 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\db\migrations\__init__.py first seen with mtime 1718659995.4506838
DEBUG 2024-06-25 09:47:19,810 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\core\__init__.py first seen with mtime 1718659995.3153172
DEBUG 2024-06-25 09:47:19,810 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\db\migrations\state.py first seen with mtime 1718659995.4586854
